Name,City,State,Type,Star_Rating,Rating,latitude,longitude,address
DM Bluemoon Comforts,Bangalore,Karnataka,Hotel,1.0,4.0,12.93758202,77.62541199,"#545, 546, 17th A main 6th block Koramangala, Bangalore 560102"
Dubey Guest House,Katra,Jammu and Kashmir,Guest House,1.0,0.0,32.9929758,74.9321588,nangal road near durga bhawan kashmir road
Falcon Suites-Residency Road,Bangalore,Karnataka,Service Apartment,0.0,0.0,12.9694839,77.6024402,"60, 1st floor, The Gateway Hotel, 2nd Cross, Near Police Station, Residency Rd"
Fortune Select Grand Ridge,Tirupati,Andhra Pradesh,Hotel,5.0,4.5,13.6137930617,79.4409705265,"Shilparamam, Tiruchanoor Road, Chennai Bangalore Highway, Tirupati"
Firdous,Srinagar,Jammu and Kashmir,Houseboat,0.0,4.3,34.0836581,74.7973681,"GATE NO 9, BOULEVARD  ROAD , DALLAKE  SRINAGAR KASHMIR INDIA"
Fort View,Malvan,Maharashtra,Homestay,0.0,0.0,16.0498975,73.4686605,"dandi beach, Malvan"
Emarald Hotel,Chennai,Tamil Nadu,Hotel,2.0,2.8,13.0805482,80.2685631,"No.22, P H Road Periamet, Near Everest Bus Stop ,Opposite Rippon Building, Chennai , TN 03"
Fortune Landmark,Indore,Madhya Pradesh,Hotel,5.0,4.3,22.7525964588,75.8837703695,Adjoining Meghdoot Gardens
Diamond Hotel,Varanasi,Uttar Pradesh,Hotel,3.0,4.1,25.2980346457,83.0015483562,Bhelupur
Dreamland Homestay,Thekkady,Kerala,Homestay,0.0,0.0,9.6048042,77.1712759,"Dreamland Homestay, Thekkady Bye pass road,Thekkady P.O,Idukki Dt"
Double Stays JLN Marg,Jaipur,Rajasthan,Hotel,0.0,0.0,26.8458446,75.7985761,Panchsheel Enclave
Devico Orchards &amp; Farm House Cottages,Kullu,Himachal Pradesh,Homestay,0.0,0.0,31.8925982,77.1282667,Mohal- Distt. Kullu
FabHotel Lotus Koregaon Park,Pune,Maharashtra,Hotel,3.0,3.9,18.5296029,73.8760153,"Hotel Lotus Lane No. 5, Koregaon Park, Pune, Maharashtra 411001"
Elephanta Forest Resort,Dooars,West Bengal,Resort,1.0,0.0,22.572646,88.363895,"Gurumara Forest,Batabari"
everest villa homestay,Manali,Himachal Pradesh,Hotel,0.0,0.0,32.2087968508,77.197637544,"aleo new manali,Near bhutan monestry aleo po-manali"
Dhanaulti Woods Mountain Camp,Dhanaulti,Uttarakhand,Cottage,0.0,0.0,30.5164336,78.1792434,"Mussoorie-Dhanaulti Road, Uttarakhand 249180"
Fortune Hotel The South Park,Thiruvananthapuram,Kerala,Hotel,4.0,4.0,8.5009432717,76.9497918619,"MG Road,Palayam, Trivandrum, Kerala"
Fariyas Resort,Lonavala,Maharashtra,Resort,5.0,4.1,18.7620734889,73.3921177135,"Frichley Hills, Tungarli"
Divine Park Homestay,Coorg,Karnataka,Homestay,0.0,0.0,12.3374942,75.8069082,Divine Spark (Abbiyala Bus stop) Erale Village Chettalli Post
